congress,average_age
80,52.4959
81,52.6415
82,53.2328
83,53.1657
84,53.4142
85,54.1689
86,53.1581
87,53.5886
88,53.0465
89,52.2029
90,52.4344
91,52.6684
92,53.1620
93,52.4260
94,51.3398
95,50.5577
96,50.0692
97,49.5282
98,50.0734
99,51.0503
100,51.8447
101,52.6647
102,53.7855
103,52.9355
104,52.6877
105,53.0829
106,54.1620
107,54.7408
108,55.4393
109,56.5096
110,57.3153
111,57.8286
112,57.6380
113,57.6290
